accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.45,9.96,-4.41,-0.07,-0.15,-0.02
0.3,8.53,-3.69,-0.06,-0.33,0.06
0.04,9.5,-3.68,-0.02,-0.33,0.07
-1.0,8.38,-5.22,0.16,-0.77,0.11
0.47,7.9,-6.03,0.64,-1.77,0.6
1.27,7.38,-4.5,0.78,-1.17,0.74
3.21,8.0,-5.94,0.67,-1.57,0.37
0.66,7.68,-5.16,0.18,-0.76,0.2
0.36,7.16,-6.7,0.01,-0.53,-0.04
-0.06,5.85,-5.6,-0.22,-0.29,0.09
-1.25,7.05,-6.41,-0.89,0.1,-0.17
0.38,8.31,-5.59,-0.28,0.76,-0.32
0.04,8.1,-6.13,-0.46,0.2,-0.17
-2.26,10.03,-1.44,-2.0,-2.23,-1.0
-3.23,15.73,-0.47,-3.27,-1.76,-1.67
0.22,8.95,-4.86,-0.02,0.02,-0.07
-0.04,8.11,-4.79,0.01,-0.01,-0.04
0.01,8.03,-4.72,0.01,-0.17,-0.11
1.43,5.98,-4.88,0.11,0.08,-0.02
0.44,4.38,-3.94,0.3,0.2,-0.23
0.7,6.3,-5.0,0.38,0.14,0.12
0.26,10.18,-5.06,-0.68,0.13,-0.24
0.59,10.94,-6.41,-1.17,0.35,-0.45
0.9,10.31,-7.33,-0.47,-0.0,-0.39
-3.86,11.52,-1.57,-1.12,-1.9,-0.78
-3.86,11.52,-1.57,-1.12,-1.9,-0.78
-3.86,11.52,-1.57,-1.12,-1.9,-0.78
-3.86,11.52,-1.57,-1.12,-1.9,-0.78
-3.86,11.52,-1.57,-1.12,-1.9,-0.78
-3.86,11.52,-1.57,-1.12,-1.9,-0.78
0.65,9.52,-4.76,0.04,0.09,-0.11
0.34,8.52,-3.18,0.1,0.1,-0.17
-0.02,8.87,-4.39,0.02,-0.11,-0.09
1.16,5.39,-3.85,0.02,0.08,-0.24
0.81,6.68,-4.34,0.45,0.12,-0.12
0.72,3.7,-2.52,0.02,0.12,-0.09
1.65,8.34,-3.62,-0.21,0.29,0.04
0.63,5.6,-0.83,-1.2,0.55,-0.51
0.32,9.05,-1.04,-1.07,-0.33,-1.71
-3.44,11.05,-4.14,-1.83,-0.73,-1.75
-19.62,19.62,7.52,-4.11,-1.63,-3.07
-3.05,2.42,4.2,-3.06,1.67,-1.68
-13.77,-1.55,7.53,0.14,-0.18,-0.99
-4.62,-3.97,5.3,0.19,0.15,-0.09
-7.04,0.95,6.29,0.27,-0.15,0.29
-0.31,9.47,-2.75,-0.06,0.05,-0.05
0.33,8.83,-3.72,-0.2,0.27,-0.17
0.33,7.83,-3.21,0.11,0.54,-0.26
-0.22,7.4,-3.83,0.28,0.45,-0.14
0.39,5.02,-3.31,0.43,0.28,-0.2
0.79,4.75,-3.22,0.13,0.57,-0.2
0.2,4.99,-3.99,-0.98,0.18,-0.22
0.11,12.92,-3.36,-1.08,0.37,-0.24
-1.33,6.67,-2.47,-1.06,-0.13,-1.54
-10.7,9.99,1.11,-2.1,-1.26,-2.45
-0.99,6.94,6.29,-4.37,-0.16,-3.2
-4.96,-3.25,2.1,-2.7,0.34,-2.14
-8.88,-0.97,6.51,-1.7,-0.87,-2.05
-8.88,-0.97,6.51,-1.7,-0.87,-2.05
-5.79,-1.79,5.47,-0.16,-0.07,-0.15
1.55,7.76,-5.14,0.22,0.6,-0.56
1.32,7.87,-5.4,-0.28,0.63,-0.59
1.84,6.64,-5.12,-0.17,0.76,-0.34
0.49,8.13,-6.52,-0.06,0.09,-0.15
0.27,6.13,-4.91,0.11,-0.78,-0.32
2.74,3.24,-4.36,-0.35,0.05,-0.34
1.32,8.87,-6.06,0.4,-0.5,-0.42
0.72,3.9,-5.91,0.2,-1.57,-2.95
-7.49,14.49,-6.08,-1.7,-1.96,-0.85
