accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-0.31,8.65,-5.46,0.03,-0.16,0.05
0.33,8.61,-5.02,0.01,-0.17,0.12
0.19,8.31,-4.99,0.12,-0.01,0.15
-0.01,8.59,-5.08,0.11,-0.37,0.02
0.74,8.14,-5.42,-0.07,0.24,0.04
1.28,5.83,-4.59,1.0,0.44,0.03
-1.61,8.29,-2.57,0.09,-0.59,0.33
1.71,5.56,-5.17,0.2,-0.59,0.01
1.64,6.62,-3.1,-0.76,0.2,-0.04
2.56,5.13,-3.26,-0.42,0.56,-0.13
0.41,4.96,-7.62,1.09,0.35,-0.31
2.25,19.62,-19.62,3.56,0.11,-0.09
0.14,7.89,-3.79,3.32,-1.54,-0.12
2.88,5.53,-5.68,2.8,-1.85,-0.65
-9.92,-1.07,-10.62,1.16,-3.48,0.12
-0.48,8.19,-5.98,0.02,-0.06,-0.0
-0.27,8.24,-5.88,0.02,-0.03,-0.01
-0.42,8.3,-5.82,-0.05,-0.02,0.01
-0.57,8.36,-5.7,0.05,-0.13,0.17
0.05,8.24,-5.21,0.03,-0.21,0.12
0.33,8.83,-4.92,-0.07,-0.52,0.08
1.37,8.13,-4.8,-0.05,-0.2,-0.04
1.66,6.75,-4.58,0.08,0.16,-0.31
0.27,5.3,-3.9,0.24,0.41,-0.14
1.82,6.12,-2.1,-0.34,0.02,-0.04
-1.46,-0.11,-5.46,0.98,-0.28,0.17
0.68,6.4,-4.24,1.59,-0.0,-0.6
-7.47,19.62,-19.62,4.37,-1.53,-0.38
-9.06,7.43,-2.95,3.17,-2.95,-0.75
-4.29,0.36,-8.39,0.2,-4.37,-0.18
0.03,8.36,-5.77,0.02,0.04,-0.06
-0.15,8.29,-5.85,0.04,0.02,-0.03
0.26,8.15,-5.6,0.02,0.01,-0.05
-0.08,9.33,-5.89,-0.0,-0.04,0.01
0.4,7.97,-4.56,-0.01,-0.11,0.05
0.53,7.92,-4.75,-0.05,-0.1,0.1
0.8,7.25,-4.27,0.08,0.03,-0.09
0.37,6.99,-4.75,0.2,0.18,0.04
0.67,5.98,-3.98,0.44,0.39,-0.1
2.06,6.51,-2.93,-0.02,0.64,0.02
-0.19,6.85,-8.79,1.31,0.71,0.22
9.93,19.62,-19.62,4.37,1.11,0.15
-4.47,-0.3,-4.18,3.92,-0.06,0.43
5.57,1.38,-0.34,2.88,0.83,-0.26
-10.64,-1.04,-14.51,0.53,-3.09,-0.05
-0.52,8.45,-5.77,0.06,-0.02,-0.03
0.14,8.22,-5.57,0.12,0.21,0.07
0.16,8.6,-5.32,0.1,0.21,0.09
0.32,8.58,-4.88,0.05,0.13,0.04
0.24,7.97,-4.6,0.02,0.14,-0.08
0.66,7.04,-4.2,0.05,0.15,-0.3
0.88,7.08,-4.99,0.11,0.42,-0.03
0.28,6.91,-3.56,-0.21,0.49,0.12
0.8,5.52,-2.39,-0.14,0.41,-0.01
-0.01,3.34,-8.81,0.96,0.07,-0.26
5.59,8.44,-19.62,2.98,0.35,-0.16
-3.89,-1.4,-0.3,2.85,-0.79,0.01
4.31,5.27,-0.6,2.01,-0.08,-0.64
-0.31,3.24,-11.18,2.74,0.64,-0.18
-0.89,-12.09,-10.86,0.43,-1.24,-0.05
0.29,8.27,-5.91,0.24,-0.02,-0.02
0.37,6.8,-6.84,0.44,0.1,0.01
0.3,7.61,-5.09,-0.06,0.15,0.05
0.93,7.38,-5.41,0.29,0.0,-0.09
0.4,4.94,-4.86,0.37,0.26,-0.15
0.64,4.37,-4.9,0.67,0.27,-0.37
1.34,5.81,-4.71,0.36,0.59,0.0
1.62,3.27,-8.01,1.45,1.29,0.19
2.86,10.61,-19.62,4.37,-0.21,0.64
2.31,0.47,-9.91,3.57,0.06,0.54
7.76,-6.73,-10.98,1.36,-1.39,0.97
-4.81,-14.14,-11.84,0.92,-1.62,0.44
-4.28,-7.03,-14.34,1.49,-1.44,0.31
-4.35,-6.09,-10.88,-0.29,-0.24,0.09
-3.01,-2.98,-6.63,-0.47,0.1,0.18
-0.05,7.44,-6.37,0.61,-0.07,-0.0
-0.13,6.45,-7.99,0.22,-0.09,-0.01
0.56,7.41,-7.49,0.16,-0.1,-0.01
0.17,6.9,-7.38,-0.3,-0.15,-0.06
-0.37,7.6,-7.9,-0.32,-0.09,-0.14
-0.05,5.68,-5.69,-0.13,-0.06,-0.17
0.22,8.74,-4.82,-0.35,-0.17,-0.07
0.76,4.81,-4.36,-0.16,0.47,-0.04
1.41,5.62,-3.93,-0.62,0.65,-0.29
0.25,6.44,-3.46,-0.69,0.34,-0.09
3.7,3.38,-8.48,1.76,0.48,0.26
5.83,19.62,-19.62,4.37,-0.54,0.07
-0.74,4.16,-0.16,4.37,0.47,-0.04
-0.98,-0.5,-5.1,2.4,0.54,0.23
7.31,-11.63,-13.91,-0.47,-1.77,1.13
0.32,8.52,-5.51,0.02,-0.06,-0.02
0.15,8.36,-5.59,0.08,-0.04,0.0
0.45,8.35,-5.51,0.09,0.02,0.01
0.19,8.4,-5.36,0.08,-0.01,-0.04
0.29,8.82,-5.07,0.13,0.04,-0.02
0.29,8.43,-4.78,0.09,0.06,0.02
0.4,7.83,-4.55,0.01,0.01,0.06
0.29,6.57,-2.79,0.1,-0.02,-0.11
2.14,4.0,-2.87,0.25,0.38,-0.11
1.39,6.97,-4.32,0.3,0.57,-0.19
-0.7,6.77,-12.0,0.95,-0.54,-0.01
4.92,5.19,-12.64,2.67,-0.2,-0.25
-5.89,10.0,-0.54,3.56,1.33,-0.2
0.87,2.69,-5.69,3.3,-0.42,0.23
4.61,-8.73,-9.32,0.84,-0.26,0.6
0.13,8.44,-5.83,0.09,-0.04,-0.03
0.19,8.4,-6.21,0.07,-0.02,-0.05
0.13,7.99,-5.76,0.04,0.01,0.0
0.69,8.21,-5.63,-0.0,0.23,0.0
0.05,8.24,-4.96,0.05,0.13,-0.05
0.47,7.82,-5.01,0.03,-0.05,-0.02
0.41,6.4,-4.99,0.03,0.16,-0.12
1.62,5.72,-5.81,0.42,0.24,-0.37
-0.97,6.4,-3.46,-0.32,0.21,-0.14
0.97,4.28,-2.75,0.17,0.33,0.15
0.48,3.93,-8.47,2.13,0.12,-0.09
-3.65,19.62,-9.65,2.66,-0.76,0.27
6.04,4.38,2.82,4.37,0.22,0.13
-1.62,0.68,-12.12,1.42,0.05,-0.13
4.43,-11.44,-12.95,1.65,-1.05,0.67
0.02,8.15,-6.54,0.07,-0.03,-0.02
0.08,7.73,-6.34,0.08,-0.09,0.03
0.43,7.23,-5.7,0.0,-0.02,0.14
0.75,6.4,-5.14,-0.02,0.15,0.12
1.48,6.16,-4.75,-0.02,0.7,-0.12
0.66,7.03,-2.21,-0.53,0.36,-0.15
1.16,4.65,-2.87,0.08,-0.07,0.15
-0.49,6.27,-8.1,1.5,-0.39,-0.09
4.68,17.9,-19.62,4.37,-0.15,0.43
-1.56,2.17,-1.55,4.37,0.66,0.26
-0.5,1.77,-7.56,2.82,-0.19,-0.28
-0.07,-10.66,-12.09,0.5,-1.62,0.7
-3.12,-5.8,-12.97,1.03,-1.57,-0.01
-3.91,-6.15,-10.72,1.69,-1.04,0.2
-4.3,-6.08,-10.89,-0.08,-0.34,0.27
0.17,8.78,-5.17,0.04,-0.0,-0.03
0.25,8.44,-5.06,0.04,-0.01,0.05
