accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.04,9.19,-3.1,-0.04,0.09,-0.08
-0.0,8.67,-2.83,-0.05,0.11,-0.12
0.65,6.4,-3.35,0.05,0.17,-0.12
-0.18,9.45,-4.21,0.32,0.16,0.04
-0.14,6.49,-1.97,-0.43,-0.19,-0.03
1.04,6.79,-1.21,0.04,0.25,-0.06
0.65,5.42,-7.39,1.0,0.28,0.14
3.71,15.65,-19.62,3.81,0.21,0.78
0.39,-4.86,3.13,1.47,0.07,0.54
1.36,8.6,-4.59,1.89,0.34,0.34
-1.3,5.7,-9.17,2.15,-1.1,0.63
6.39,-3.24,-14.8,2.74,-3.04,0.99
-4.33,-5.54,-14.28,1.36,-1.73,0.57
-4.96,-15.03,-8.48,1.41,-2.01,-0.1
-7.89,-8.35,-8.44,0.34,-1.6,0.19
0.21,8.5,-2.88,0.09,0.12,-0.13
0.57,7.7,-3.29,-0.21,0.34,-0.13
-0.22,6.09,-3.73,0.28,0.38,-0.04
-0.29,9.29,-2.63,-0.2,0.12,-0.08
0.2,7.12,-1.43,0.06,0.42,-0.08
0.36,6.37,-2.18,0.11,0.33,-0.01
1.17,6.21,-5.3,0.74,0.04,0.45
8.2,19.62,-19.62,4.37,-1.17,0.99
1.12,2.27,-0.35,3.65,0.38,1.1
2.0,2.13,-6.26,1.5,0.11,0.25
-1.9,5.48,-10.2,2.66,-2.34,0.92
3.86,-1.86,-12.31,2.48,-3.01,0.61
-4.74,-8.81,-9.92,1.57,-1.25,-0.18
-4.92,-7.6,-10.41,1.56,-2.62,0.47
-11.61,-8.4,-8.41,-0.12,-0.54,0.83
0.06,9.26,-2.86,0.01,-0.01,-0.02
0.31,8.62,-2.94,-0.29,0.05,-0.02
0.18,7.47,-3.01,-0.04,0.18,-0.15
-0.44,7.61,-3.29,-0.07,0.17,-0.31
-0.53,6.59,-1.19,-0.36,0.09,-0.14
0.63,7.62,-1.91,-0.06,0.25,0.09
-0.83,7.45,-5.59,0.74,0.05,0.41
3.09,7.35,-11.43,2.56,0.16,0.85
3.94,-0.56,-0.87,-0.69,-0.49,0.6
-0.71,10.34,-6.82,3.72,-0.06,0.81
2.34,2.7,-9.49,3.44,0.12,0.55
-2.3,-3.31,-14.39,1.72,-3.96,0.99
-1.91,-5.99,-11.49,1.28,-2.78,-0.27
-9.2,-7.6,-8.87,1.54,-1.25,0.49
-5.33,-7.35,-11.66,0.34,-1.16,0.04
-0.2,7.9,-3.04,-0.23,-0.01,-0.03
-0.02,9.51,-3.06,-0.05,0.04,-0.18
0.3,7.68,-2.88,-0.21,0.22,-0.07
-0.4,7.39,-2.63,-0.19,0.15,-0.1
-0.44,8.16,-2.59,-0.07,0.2,-0.06
0.82,7.68,-0.97,-0.19,0.07,0.03
-0.9,6.06,-2.1,0.04,-0.07,-0.03
-0.68,7.08,-6.87,1.69,-0.68,0.41
1.7,19.62,-16.08,3.91,-0.28,1.15
2.79,-2.14,-5.92,4.37,-0.01,1.08
1.72,3.24,-4.08,1.03,-0.05,-0.1
-3.85,4.32,-9.08,2.81,-1.57,0.55
0.51,-7.46,-13.34,1.36,-4.09,0.61
-8.0,-5.42,-9.73,1.64,-1.26,-0.09
-9.33,-7.66,-14.23,1.35,-2.24,-0.01
-0.11,8.83,-3.96,-0.09,-0.13,0.14
0.67,8.03,-3.71,-0.14,-0.01,-0.09
1.4,5.48,-3.29,-0.14,0.24,-0.28
-0.85,8.2,-2.45,0.54,0.35,-0.26
-0.71,7.3,-2.91,-0.15,0.14,-0.08
1.37,5.94,-1.96,-0.3,0.33,-0.06
1.79,3.87,-8.34,1.08,0.64,0.5
2.68,6.77,-17.97,3.22,0.57,1.11
2.08,1.63,0.09,1.84,0.1,0.51
2.02,6.33,-3.48,2.51,0.31,0.16
0.26,-0.63,-18.14,0.94,-1.13,-0.07
3.18,-5.73,-13.62,1.35,-0.55,-0.02
0.95,-4.8,-11.6,0.46,-0.39,0.02
-0.29,-2.47,-11.58,0.17,-0.34,-0.08
-0.28,-0.1,-11.56,0.25,-0.87,0.19
-0.11,8.83,-3.96,-0.09,-0.13,0.14
0.67,8.03,-3.71,-0.14,-0.01,-0.09
1.4,5.48,-3.29,-0.14,0.24,-0.28
-0.85,8.2,-2.45,0.54,0.35,-0.26
-0.71,7.3,-2.91,-0.15,0.14,-0.08
1.37,5.94,-1.96,-0.3,0.33,-0.06
1.79,3.87,-8.34,1.08,0.64,0.5
2.68,6.77,-17.97,3.22,0.57,1.11
2.08,1.63,0.09,1.84,0.1,0.51
2.02,6.33,-3.48,2.51,0.31,0.16
0.26,-0.63,-18.14,0.94,-1.13,-0.07
3.18,-5.73,-13.62,1.35,-0.55,-0.02
0.95,-4.8,-11.6,0.46,-0.39,0.02
-0.29,-2.47,-11.58,0.17,-0.34,-0.08
-0.28,-0.1,-11.56,0.25,-0.87,0.19
0.45,7.47,-5.62,0.02,0.06,-0.02
0.14,9.64,-5.23,-0.14,-0.1,0.01
0.76,7.62,-4.14,-0.04,-0.01,0.01
1.53,3.74,-4.16,0.16,0.11,-0.28
1.05,8.99,-2.4,0.36,0.72,0.15
0.14,5.53,-1.44,0.14,-0.37,-0.14
1.94,4.22,-7.92,0.78,0.4,-0.54
9.65,2.84,-19.62,4.37,1.65,0.63
-3.09,-5.03,2.4,1.81,-0.73,0.08
0.92,7.41,-6.14,1.42,0.07,0.03
-4.78,1.42,-11.69,2.94,-2.28,1.27
2.62,-14.27,-12.77,-0.01,-4.32,0.45
-13.12,-0.33,-7.84,1.68,-2.31,0.66
-11.29,-4.57,-8.46,0.14,-2.58,0.84
-8.21,-6.96,0.98,-0.62,0.58,0.11
0.73,7.77,-3.93,-0.04,0.27,0.12
-0.07,7.43,-4.12,-0.2,0.14,0.0
0.39,3.35,-4.0,-0.06,-0.15,-0.15
0.26,8.72,-1.79,0.33,-0.27,0.29
2.78,7.65,-2.44,0.02,1.02,-0.18
-2.22,5.71,-10.06,1.41,0.24,0.75
16.15,19.62,-17.41,-1.31,0.34,1.1
-4.11,9.49,-6.45,4.37,0.66,1.56
4.35,0.06,-5.89,1.68,1.88,0.56
3.53,-1.58,-15.15,-3.01,-0.58,1.08
6.01,-2.04,-10.93,-0.0,-0.56,0.87
0.37,-6.11,-13.24,0.4,-0.73,0.45
-0.05,-1.4,-11.91,0.44,-0.76,0.31
1.37,-1.03,-12.1,-0.11,-0.13,0.12
-0.23,-1.44,-12.25,-0.17,-0.02,-0.16
-0.26,8.44,-5.32,0.11,-0.01,0.05
-0.46,8.52,-5.33,0.02,-0.04,0.14
-0.3,7.24,-5.12,-0.03,-0.15,0.23
0.0,6.84,-5.29,0.21,-0.2,0.35
2.19,8.05,-4.29,-0.34,0.13,0.46
-0.57,6.31,-1.05,-0.09,-0.63,0.08
2.07,5.01,-2.19,-0.08,-0.04,-0.33
-0.36,2.96,-9.51,1.73,-0.03,0.43
-4.46,17.55,-18.89,-1.27,-4.37,-0.82
-2.83,7.06,-1.07,4.37,-0.43,1.06
2.73,0.87,-2.51,1.69,-0.31,-0.23
-10.65,5.44,-17.12,-1.89,-1.26,1.33
-7.2,-5.9,-14.28,0.27,0.16,0.01
-4.52,-4.28,-12.52,-0.37,-0.03,-0.32
-3.54,0.05,-10.07,-0.23,-0.18,-0.05
0.23,8.02,-4.7,0.13,-0.01,-0.09
-0.49,8.24,-4.75,0.07,0.06,0.09
1.54,6.53,-3.53,0.02,0.15,0.01
-0.57,6.08,-3.67,0.04,-0.23,-0.05
1.27,4.6,-3.09,0.16,0.05,-0.18
1.27,4.6,-3.09,0.16,0.05,-0.18
8.38,19.62,-19.62,4.37,-0.24,4.11
1.04,0.54,0.12,3.96,0.07,1.21
-6.23,2.85,-8.16,0.86,-2.95,0.16
-5.01,-7.17,-16.72,-1.79,-4.37,1.85
0.0,0.0,0.0,0.0,0.0,0.0
-8.64,0.57,-9.78,0.57,-0.82,-0.39
-7.4,2.09,-5.52,0.42,-0.02,-0.15
-7.4,2.09,-5.52,0.42,-0.02,-0.15
-7.4,2.09,-5.52,0.42,-0.02,-0.15
1.18,9.7,-3.66,0.25,-0.08,0.21
1.04,8.42,-3.89,0.31,-0.07,0.15
2.19,6.81,-3.66,0.16,0.53,-0.16
0.21,5.69,-2.64,0.37,0.69,-0.16
3.1,9.24,-2.7,0.11,0.63,-0.32
0.77,6.36,-1.4,-0.18,-0.01,0.29
2.78,6.78,-7.07,1.59,0.09,0.73
13.53,14.77,-19.62,4.37,-0.48,2.62
3.76,2.14,-0.09,2.74,-1.38,0.41
-15.2,-0.5,-8.45,1.11,-3.82,0.86
-15.2,-0.5,-8.45,1.11,-3.82,0.86
-15.32,-5.18,-19.62,2.33,-4.37,-0.52
-3.88,-5.5,1.65,-1.18,1.17,0.38
-7.98,-1.76,-2.27,-0.42,-0.87,0.24
-8.04,-2.93,-7.26,-0.4,-0.55,1.21
0.45,8.25,-3.95,0.05,0.01,-0.03
0.5,7.23,-3.41,0.06,-0.18,-0.09
1.09,4.44,-4.03,0.3,0.3,-0.14
-1.13,10.15,-1.41,-0.55,0.05,0.23
-1.13,10.15,-1.41,-0.55,0.05,0.23
-1.13,10.15,-1.41,-0.55,0.05,0.23
19.62,16.72,-19.62,4.37,1.01,3.76
-3.46,0.19,-2.49,2.94,-1.94,1.02
-5.69,2.32,-1.67,1.86,-1.52,-0.08
-5.69,2.32,-1.67,1.86,-1.52,-0.08
-5.69,2.32,-1.67,1.86,-1.52,-0.08
-5.69,2.32,-1.67,1.86,-1.52,-0.08
-7.94,-5.68,-5.62,-0.16,-0.15,0.96
-5.34,-3.66,-5.03,-0.05,-0.15,0.25
-8.14,-2.19,-8.24,-0.57,-0.17,0.4
0.07,5.5,-3.24,0.82,-0.23,-0.03
0.07,5.5,-3.24,0.82,-0.23,-0.03
0.07,5.5,-3.24,0.82,-0.23,-0.03
-3.7,19.62,-19.24,4.37,-1.54,2.51
1.37,0.77,-0.87,4.26,-1.85,0.88
-0.59,1.57,-3.7,2.41,-2.21,-0.25
-17.1,6.8,-7.47,1.36,-4.3,0.05
-2.58,-11.18,-16.66,-0.73,-1.51,-0.76
-10.91,-5.55,-5.12,-0.24,0.41,0.85
-5.46,-1.18,-1.06,0.03,0.2,-0.08
-8.1,-3.96,-6.4,-0.53,-0.0,0.61
-9.79,-2.09,-8.52,-0.1,-0.33,0.59
-8.07,1.03,-6.1,0.48,-0.25,0.06
-8.21,-1.45,-4.55,-0.16,-0.36,-0.07
