accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.43,7.57,-2.87,-0.01,-0.01,0.35
1.03,9.12,-3.32,-0.17,-0.3,0.19
-0.15,10.98,-2.85,-0.43,-0.7,-0.08
2.14,8.51,-1.96,0.26,-0.81,0.36
5.46,9.39,-5.5,0.37,0.25,0.6
-2.14,10.76,-5.75,-0.66,0.21,0.03
2.59,9.08,-7.22,0.41,-0.37,0.16
2.05,7.92,-4.68,0.09,0.12,-0.27
1.48,9.27,-4.37,-0.42,0.05,-0.36
1.44,8.44,-3.99,-0.03,0.48,-0.18
1.09,8.67,-3.38,-0.29,0.49,-0.18
0.28,8.78,-2.9,0.1,0.42,0.11
1.93,8.89,-2.4,-0.39,0.62,0.01
-0.92,11.58,-6.51,0.69,-0.5,-0.87
1.34,3.57,-5.28,0.14,0.25,0.27
1.5,12.05,-5.18,-0.66,-0.77,0.33
0.79,8.12,-4.68,0.49,-0.57,0.66
1.16,8.0,-3.73,-0.34,-0.62,0.3
1.63,9.18,-3.5,-0.05,-0.59,0.16
1.31,8.98,-3.81,0.23,-0.6,0.01
0.83,8.9,-2.82,0.03,-0.95,0.09
1.27,9.73,-6.29,-0.04,-0.79,0.25
1.45,7.8,-6.19,0.07,-1.44,0.17
1.34,7.68,-6.4,-0.07,-1.06,0.28
1.21,8.04,-6.64,0.02,-1.17,0.2
0.99,7.48,-6.15,0.18,-0.56,0.03
-0.02,7.55,-5.9,0.15,-0.67,0.08
-0.0,8.66,-5.3,-0.02,-0.42,0.13
-0.54,8.47,-5.01,-0.37,-0.46,0.08
-0.92,8.3,-5.71,-0.18,-0.32,0.26
-1.14,9.14,-4.11,-0.11,-0.07,0.1
-0.68,8.93,-3.73,-0.37,-0.23,0.19
-0.68,9.27,-5.86,0.18,-0.19,0.29
-0.1,8.37,-4.37,-0.54,-0.24,0.18
2.5,9.08,-5.66,-0.71,-0.36,0.2
1.27,10.3,-3.45,0.22,0.57,0.37
0.97,8.12,-2.81,0.09,-0.12,0.67
1.27,8.62,-2.51,-0.33,-0.35,0.47
0.65,8.18,-1.56,0.19,-0.74,0.23
1.62,9.71,-1.8,0.34,-1.43,-0.14
3.14,8.45,-1.5,0.15,-0.85,0.13
4.58,10.09,-9.2,-0.41,1.01,0.58
0.54,6.9,-6.19,0.42,-0.8,-0.65
1.09,7.38,-4.96,-0.59,1.51,-0.92
1.84,9.16,-4.39,-0.4,0.78,-0.81
-0.68,8.27,-4.62,0.32,0.61,-0.45
0.79,8.95,-3.5,-0.1,0.27,0.01
-0.5,7.89,-3.99,-0.48,0.0,0.16
0.99,10.0,-7.89,0.7,-0.14,-0.0
2.4,5.18,-5.83,-1.02,-1.02,0.32
0.15,11.93,-7.78,1.04,-1.32,0.5
2.7,6.38,-6.02,-0.09,-1.26,0.99
1.41,9.41,-5.6,-0.17,-1.2,0.78
2.13,7.87,-5.39,-0.07,-1.12,0.65
1.73,8.54,-4.86,-0.36,-1.02,0.38
2.12,8.49,-4.81,-0.11,-0.93,0.27
0.81,8.98,-4.35,-0.21,-0.93,0.28
3.21,8.91,-8.51,-0.5,-1.35,-0.07
-1.81,12.47,-6.14,-1.27,-1.25,-0.2
3.13,7.93,-4.89,0.55,-0.94,0.38
-0.49,8.99,-4.15,-0.1,0.2,-0.0
-0.82,9.32,-3.89,-0.32,0.16,0.06
-1.32,9.64,-4.66,-0.04,0.0,-0.04
-0.71,8.78,-3.98,-0.35,-0.14,-0.02
-0.14,9.83,-5.94,-0.34,-0.21,0.13
2.53,7.47,-4.64,0.06,0.25,0.19
0.91,9.07,-4.07,-0.1,-0.12,0.45
0.68,9.59,-3.34,0.07,-0.16,0.43
1.6,8.14,-2.35,-0.12,-0.41,-0.02
1.37,8.93,-2.37,-0.38,-0.09,0.03
-0.48,10.16,-3.08,0.42,-0.62,0.04
5.09,10.37,-2.89,0.56,0.18,0.77
3.17,9.35,-7.3,-0.66,0.57,0.43
3.72,8.69,-5.22,0.32,0.13,-0.26
1.25,7.24,-4.82,-0.11,0.77,-0.68
0.66,8.74,-3.84,0.17,0.57,-0.54
0.52,8.25,-3.83,0.17,0.69,-0.14
0.15,8.61,-3.22,0.02,0.4,0.19
0.63,9.16,-3.44,0.14,0.18,0.2
0.38,9.83,-6.06,-0.39,0.17,-0.01
3.21,8.85,-6.98,-0.8,-0.85,-0.77
-1.68,7.43,-6.13,0.54,-0.34,0.62
2.65,6.52,-4.9,-0.13,-1.12,0.7
1.3,8.94,-4.48,-0.08,-0.92,0.59
1.43,8.38,-4.18,-0.08,-1.19,0.51
1.11,9.74,-3.56,0.19,-1.25,0.16
2.52,9.13,-7.24,-0.23,-0.94,0.22
-0.09,10.6,-4.7,-0.41,-0.82,0.32
1.61,7.35,-7.3,0.28,-1.48,0.38
1.21,8.04,-5.95,0.05,-0.58,-0.0
-1.15,9.49,-4.3,-0.25,-0.05,-0.04
-1.01,10.2,-4.29,-0.63,-0.07,-0.04
1.35,7.47,-6.59,-0.44,0.33,0.16
0.1,9.74,-4.67,0.18,-0.01,0.41
1.21,7.82,-4.03,0.26,-0.07,0.53
1.42,9.27,-3.4,-0.04,-0.05,0.25
1.08,8.32,-3.25,0.22,-0.26,0.08
0.16,8.53,-2.64,-0.27,-0.61,-0.24
-0.22,9.54,-2.94,0.17,-0.98,0.09
2.44,10.1,-2.32,0.28,-0.2,0.19
2.04,11.42,-9.32,-0.28,0.35,0.24
-1.92,4.62,-7.64,-0.22,-0.33,-0.13
3.58,9.83,-5.13,-0.1,0.78,-0.35
0.43,8.6,-4.4,0.34,1.04,-0.47
0.63,7.85,-3.9,0.4,0.81,-0.35
-0.31,9.02,-3.55,0.05,0.41,0.11
0.21,8.17,-3.43,-0.34,0.03,0.2
3.11,10.31,-1.95,-0.04,0.08,-0.08
2.09,13.03,-7.25,-1.31,-0.68,-1.7
-0.34,4.76,-5.6,0.48,0.52,0.62
2.54,7.38,-4.27,-0.45,-0.77,0.63
1.73,8.44,-4.15,0.14,-0.52,0.48
0.75,8.15,-4.27,0.16,-0.83,0.18
-0.06,9.46,-3.67,0.07,-0.71,0.19
0.78,9.31,-3.18,-0.28,-1.42,0.18
2.31,10.81,-4.38,0.08,-1.22,0.55
-1.16,9.16,-6.2,-1.06,-1.56,0.03
0.6,8.53,-6.52,-0.54,-1.66,0.03
1.32,9.09,-5.16,0.45,-1.18,0.18
0.46,6.7,-4.91,0.31,-0.6,-0.03
1.69,10.28,-3.66,0.09,-0.09,-0.22
1.73,9.76,-3.84,-0.17,0.29,-0.27
-1.03,7.31,-5.66,0.23,0.0,-0.31
0.93,10.4,-3.72,0.26,0.53,-0.43
-1.42,7.65,-4.15,0.39,-0.09,-0.28
-0.99,9.86,-3.47,-0.2,-0.09,0.06
0.39,9.3,-2.69,-0.35,-0.11,0.5
-0.56,8.87,-3.23,-0.38,0.01,0.23
0.88,12.47,-6.68,-0.74,-0.77,-0.62
1.02,8.91,-5.24,0.84,-0.02,0.9
2.17,7.11,-3.25,-0.68,-0.52,0.6
1.16,10.56,-3.61,-0.14,-0.14,0.3
0.66,7.88,-2.76,0.27,-0.25,-0.05
0.69,8.84,-2.17,-0.0,-0.72,-0.4
1.73,10.58,-2.31,-0.12,-0.93,0.03
2.92,15.47,-6.82,0.73,-0.14,0.76
-2.96,4.82,-5.79,-0.27,0.6,-0.38
5.34,9.98,-4.25,0.46,0.92,-0.31
1.02,7.75,-4.64,0.52,0.64,-0.54
0.71,8.25,-3.96,0.15,0.53,-0.41
0.51,8.91,-3.14,-0.13,0.38,0.12
0.66,9.54,-3.88,-0.43,0.44,0.0
0.88,12.98,-5.98,0.49,-0.11,-0.41
2.43,7.39,-6.22,-0.59,-0.67,0.0
-1.06,11.29,-5.82,0.86,-1.05,0.32
2.55,6.67,-4.7,-0.46,-1.07,0.63
0.26,10.98,-4.68,-0.15,-1.28,0.76
1.86,8.15,-3.4,-0.11,-1.32,0.45
1.03,8.26,-2.87,0.04,-1.06,0.17
1.1,9.11,-3.15,-0.1,-1.06,0.12
0.1,9.32,-5.03,-0.68,-0.14,0.05
1.7,9.33,-4.77,0.14,-0.16,-0.33
0.05,6.69,-5.05,0.41,-0.04,-0.29
-0.21,9.0,-4.46,0.28,0.33,-0.38
-0.62,8.51,-4.84,0.28,0.03,-0.27
-0.79,9.05,-4.0,-0.09,0.08,-0.11
-1.3,8.77,-4.05,-0.17,-0.1,0.08
-0.95,9.7,-4.58,-0.09,-0.13,0.07
-2.31,8.47,-4.41,-0.29,-0.55,0.33
2.01,8.84,-7.0,-0.61,-0.24,0.39
2.28,8.75,-4.7,0.24,0.35,0.26
0.69,8.78,-4.37,0.05,0.2,0.3
0.16,9.38,-3.34,-0.05,-0.05,0.26
1.14,8.94,-3.03,0.06,-0.15,-0.25
0.58,8.74,-2.77,0.17,0.06,-0.25
0.81,10.72,-3.3,-0.2,-0.36,0.13
0.6,10.59,-6.99,-0.18,0.06,0.4
1.38,6.82,-5.4,0.13,0.38,-0.11
1.88,8.64,-5.91,0.02,0.25,-0.0
1.29,7.86,-4.82,-0.02,0.65,-0.28
0.89,8.1,-4.32,0.18,0.54,-0.45
0.68,8.56,-3.42,0.12,0.54,-0.11
1.33,9.03,-3.17,-0.39,0.74,0.2
-0.27,9.57,-2.36,-0.26,-0.0,0.04
0.51,11.83,-7.25,-0.21,-0.89,-1.89
-0.67,7.27,-5.69,-0.16,-0.14,0.23
1.57,8.32,-4.6,-0.5,-1.27,0.62
1.68,7.91,-5.15,0.23,-0.95,0.44
1.32,9.45,-4.75,0.14,-0.94,0.31
0.2,8.72,-3.8,0.26,-0.87,0.18
-0.06,9.31,-3.03,-0.32,0.61,-0.14
-1.6,8.94,-4.04,-0.43,0.25,-0.33
-0.4,10.25,-5.17,-0.67,-0.6,-0.42
-0.1,8.9,-6.16,-0.23,-0.14,0.18
1.23,7.35,-4.02,0.23,0.0,0.42
0.84,7.43,-4.07,-0.18,-0.47,0.49
1.18,9.04,-3.62,0.25,-0.27,0.43
0.63,8.5,-3.14,-0.08,-0.42,0.13
0.94,9.09,-3.86,0.06,-0.59,-0.06
0.84,10.65,-3.38,0.09,-0.58,0.03
2.01,9.46,-4.36,-0.35,-0.37,0.09
0.87,8.98,-6.92,-0.62,-0.58,0.07
0.19,8.09,-6.58,-0.06,-0.73,0.0
1.34,8.44,-4.76,-0.18,0.01,-0.35
-0.5,8.8,-4.46,0.34,-0.03,-0.23
-0.07,8.22,-3.57,-0.04,-0.02,-0.09
0.06,9.28,-2.99,0.05,0.4,0.11
-0.68,9.51,-2.84,-0.17,0.65,0.4
-1.38,9.3,-2.83,-0.07,0.23,-0.03
0.62,13.91,-6.68,0.05,0.07,-0.51
8.68,5.53,-5.89,-0.85,0.67,0.06
-1.0,10.19,-5.78,-0.38,-0.61,0.21
