accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1.71,8.59,-5.13,-0.01,-0.01,0.01
1.88,8.4,-5.29,0.0,0.01,0.02
2.4,7.7,-6.38,0.15,0.24,0.05
1.59,4.99,-5.4,0.63,0.35,-0.06
2.08,6.92,-6.96,0.76,0.28,0.08
1.19,5.63,-7.33,0.75,0.04,0.05
2.85,6.74,-7.41,0.58,0.15,0.12
2.02,6.42,-7.42,0.64,-0.08,-0.2
0.0,0.0,0.0,-0.03,-0.03,-0.03
3.57,8.13,-7.3,-0.46,0.67,-0.47
1.91,8.13,-6.87,-0.6,0.1,-0.49
1.91,10.21,-8.0,-1.29,-0.33,-0.87
0.94,10.41,-5.73,-1.36,-0.49,-0.77
0.32,9.92,-3.22,-0.73,-0.41,-0.62
-0.58,9.46,-3.06,-0.82,-0.14,-0.23
0.88,8.83,-4.99,-0.0,0.0,-0.03
1.12,8.76,-5.03,-0.02,0.02,-0.02
1.53,8.1,-5.42,-0.0,0.08,-0.13
1.61,7.97,-5.57,0.31,0.01,-0.13
1.18,7.02,-6.23,0.62,-0.16,0.25
0.44,7.25,-6.11,0.86,-0.2,0.56
1.15,6.94,-5.87,0.76,0.07,0.12
0.97,6.99,-6.87,0.5,0.27,0.03
1.25,5.93,-7.11,0.11,0.32,-0.0
3.34,8.76,-7.19,-0.17,0.83,-0.17
2.6,8.12,-7.2,-0.44,0.62,-0.31
2.49,9.98,-7.24,-0.77,0.29,-0.37
1.68,9.7,-6.65,-1.02,-0.34,-0.51
0.66,9.52,-5.27,-0.93,-0.48,-0.59
0.06,10.42,-4.14,-0.81,-0.54,-0.39
0.44,8.33,-5.7,0.02,0.02,-0.07
0.41,8.42,-5.8,-0.01,0.02,-0.05
0.69,8.21,-6.36,0.01,-0.07,-0.04
1.0,7.79,-6.62,0.11,0.02,-0.02
0.86,7.75,-6.55,0.13,0.03,-0.01
0.23,7.9,-6.58,0.38,-0.1,0.26
1.24,7.28,-5.57,0.35,0.22,0.2
0.16,6.08,-5.62,0.7,0.28,-0.07
0.19,7.1,-6.39,0.33,0.5,0.04
2.01,6.06,-7.43,0.42,0.43,0.22
1.43,6.58,-7.61,0.02,0.19,0.15
2.39,8.34,-6.82,-0.08,0.34,-0.23
1.25,7.91,-7.3,-0.31,0.69,-0.13
2.47,7.89,-6.75,-0.44,0.23,-0.22
3.39,9.75,-6.34,-0.77,0.03,-0.59
0.88,8.8,-4.75,0.01,0.01,-0.02
0.98,8.72,-4.84,-0.01,0.01,-0.03
1.7,8.48,-5.85,0.04,0.17,-0.01
1.49,8.08,-6.66,0.52,0.24,0.05
1.09,7.55,-5.78,0.6,-0.23,0.21
1.2,7.85,-6.39,0.38,-0.34,0.2
1.86,6.87,-6.33,0.52,0.07,-0.02
-0.98,4.36,-4.54,0.9,0.55,-0.28
1.2,6.59,-8.22,0.58,0.6,0.06
3.12,7.38,-8.26,-0.01,0.55,0.09
1.27,6.85,-8.05,-0.12,0.3,0.16
2.65,9.0,-6.2,-0.42,0.17,-0.23
2.75,8.27,-6.62,-0.55,0.14,-0.59
1.86,9.89,-6.32,-0.91,-0.35,-0.88
1.34,10.99,-6.35,-1.25,-0.55,-0.71
1.05,8.61,-5.3,-0.03,-0.01,-0.03
1.08,8.62,-5.29,-0.01,-0.0,-0.03
1.81,7.42,-6.57,0.21,0.06,-0.04
1.02,5.87,-6.79,0.58,-0.04,-0.08
2.43,6.81,-6.19,0.89,0.34,0.4
0.49,7.11,-7.59,1.05,0.53,0.23
1.73,5.98,-7.46,0.36,0.44,-0.13
