accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2.3,7.64,-3.79,-0.3,0.0,0.36
0.9,8.74,-4.0,-0.17,0.61,0.18
0.93,8.4,-3.51,0.39,-0.79,-0.33
1.4,10.64,-3.72,0.07,-1.2,-0.61
1.84,10.29,-2.16,0.22,-0.41,0.29
-0.8,7.58,-7.8,-1.21,0.28,-0.32
1.85,9.03,-6.12,0.17,0.4,-0.63
0.51,5.91,-5.49,0.04,0.83,-0.61
0.71,7.07,-5.51,-0.74,0.74,-0.92
0.48,8.09,-4.93,0.09,0.68,-0.45
0.2,7.34,-4.21,0.18,0.3,-0.06
1.26,9.33,-4.26,0.17,0.74,0.03
-1.78,7.8,-8.29,0.68,0.48,-0.21
1.6,6.4,-7.39,-0.27,0.35,-0.39
1.94,10.43,-6.05,-0.32,0.01,-0.16
1.88,8.55,-4.73,-0.24,0.4,-0.31
2.15,8.43,-7.61,-0.53,0.13,-0.15
1.18,9.32,-5.55,0.09,0.26,0.25
1.31,7.66,-4.24,-0.07,0.13,0.32
1.28,8.81,-4.09,-0.03,0.01,0.07
1.44,8.39,-3.37,0.08,-0.09,-0.34
0.3,10.18,-5.34,0.2,-0.26,-0.1
0.72,9.5,-2.72,-0.09,-0.52,0.24
3.75,10.98,-5.8,-0.21,0.61,0.07
2.79,5.01,-6.69,0.23,-0.08,-0.03
1.89,8.72,-6.02,-0.18,1.05,-0.82
0.68,7.64,-5.51,0.45,1.08,-0.76
0.25,8.28,-4.95,0.03,0.88,-0.79
-0.02,8.63,-4.78,0.21,0.69,-0.2
0.62,8.57,-4.24,-0.01,0.82,-0.24
2.13,11.34,-7.15,0.47,-0.09,0.21
-0.05,6.27,-6.02,-0.36,0.53,0.01
4.18,9.8,-5.82,-0.2,0.19,-0.35
0.87,7.63,-5.05,0.62,0.54,-0.33
0.84,8.17,-3.79,0.02,0.47,-0.38
-0.06,8.42,-3.48,-0.02,0.5,0.05
-0.66,8.96,-4.99,0.34,0.23,-0.01
-0.27,11.65,-3.94,0.34,0.3,-0.74
2.79,8.98,-7.42,-0.67,0.72,-0.47
1.37,7.13,-5.13,-0.2,0.52,-0.13
1.82,8.44,-5.14,-0.22,0.16,0.37
1.84,7.62,-4.06,0.39,0.19,0.25
1.89,7.81,-2.84,0.08,0.09,-0.11
0.17,8.75,-5.95,0.11,-0.08,-0.48
1.95,9.86,-3.72,-0.0,-0.16,0.18
0.74,10.28,-7.21,-0.41,-0.62,-0.75
2.85,7.67,-5.43,0.11,0.59,-0.04
1.61,7.32,-4.74,-0.17,0.04,0.34
2.34,7.7,-4.96,0.08,-0.08,0.26
1.81,8.47,-4.33,0.03,-0.12,0.14
1.66,8.42,-3.53,-0.11,-0.17,-0.04
1.57,8.96,-3.68,0.16,-0.41,-0.25
1.9,10.6,-4.94,0.2,-0.26,-0.01
2.33,8.88,-5.16,-0.33,0.25,-0.21
1.27,6.83,-6.19,0.35,-0.16,-0.08
1.3,8.37,-6.38,-0.22,0.44,-0.47
1.51,8.05,-5.22,0.18,0.76,-0.56
0.23,8.53,-4.77,0.02,0.96,-0.54
0.65,8.55,-4.23,0.06,0.88,-0.29
0.4,8.91,-4.78,-0.05,0.91,-0.26
1.26,8.85,-2.38,-0.13,0.86,0.4
-3.22,10.25,-4.75,0.31,-0.37,-0.06
6.78,10.72,-8.75,-0.2,-0.2,-0.68
-0.23,9.61,-5.39,-0.09,-0.13,0.24
2.82,7.18,-4.46,-0.16,-0.4,0.43
2.23,8.79,-4.21,-0.1,0.02,0.05
1.88,8.02,-3.68,0.16,0.05,-0.37
1.41,9.53,-3.87,0.04,0.23,-0.51
1.63,11.35,-4.84,0.1,0.03,-0.18
2.48,9.7,-5.44,-0.38,0.54,-0.05
0.72,5.79,-6.47,0.38,0.08,-0.27
0.63,8.53,-5.24,-0.28,0.79,-0.73
1.55,8.63,-5.42,0.36,1.03,-0.61
0.16,7.81,-4.37,-0.06,0.95,-0.61
0.29,8.6,-4.64,0.29,0.55,-0.18
1.72,7.9,-3.29,-0.11,-0.39,0.1
0.18,8.66,-4.18,0.22,-0.39,0.04
1.53,8.8,-3.31,-0.11,-0.49,-0.33
0.27,10.44,-3.99,0.15,-0.31,-0.04
2.34,14.09,-5.07,0.05,0.3,0.51
0.94,5.13,-6.05,0.24,0.04,0.05
1.25,8.96,-5.1,-0.37,0.36,-0.37
0.63,9.66,-5.13,0.24,0.46,-0.44
1.25,7.04,-3.73,0.24,0.74,-0.38
-0.17,8.19,-4.55,0.0,0.53,-0.16
1.97,9.63,-4.39,0.04,0.77,0.05
2.26,10.51,-5.54,0.39,0.69,-0.35
0.11,8.73,-5.21,-0.32,0.27,-0.56
3.21,7.0,-5.99,0.0,0.82,-0.23
1.16,8.49,-5.58,-0.04,0.5,0.23
-0.37,7.38,-3.73,0.1,0.09,-0.05
0.97,8.82,-3.76,-0.05,0.11,0.04
0.71,8.21,-4.65,0.09,0.51,0.08
1.42,12.41,-7.05,0.61,-0.04,-0.11
3.11,7.66,-6.1,-0.07,0.1,-0.05
2.31,7.71,-6.12,-0.08,0.61,-0.13
1.84,8.25,-5.51,-0.07,0.47,0.19
2.41,7.96,-4.51,0.04,0.72,0.04
1.64,7.91,-3.85,0.15,0.44,-0.04
2.65,8.86,-2.86,0.05,0.26,-0.48
-0.16,11.49,-4.3,-0.02,-0.02,0.08
4.61,11.76,-5.63,-0.12,-0.03,0.2
3.22,7.28,-6.53,0.22,-0.16,-0.13
1.95,6.31,-5.66,-0.09,0.26,-0.23
1.89,7.24,-5.06,-0.01,0.64,-0.61
-0.09,7.24,-5.75,0.56,0.34,-0.22
0.91,8.14,-4.66,-0.01,0.41,-0.2
-0.31,8.49,-4.23,-0.05,0.43,-0.01
-0.54,8.78,-5.07,-0.17,0.44,-0.04
-0.63,10.63,-5.04,0.11,0.02,-0.83
1.94,8.86,-6.66,-0.07,0.68,-0.11
